team,total_points,date,id,id_num,team_short
Argentina,1855.2,2024-02-15,id14289,14289,ARG
France,1845.44,2024-02-15,id14289,14289,FRA
England,1800.05,2024-02-15,id14289,14289,ENG
Belgium,1798.46,2024-02-15,id14289,14289,BEL
Brazil,1784.09,2024-02-15,id14289,14289,BRA
Netherlands,1745.48,2024-02-15,id14289,14289,NED
Portugal,1745.06,2024-02-15,id14289,14289,POR
Spain,1732.64,2024-02-15,id14289,14289,ESP
Italy,1718.82,2024-02-15,id14289,14289,ITA
Croatia,1717.57,2024-02-15,id14289,14289,CRO
Uruguay,1665.99,2024-02-15,id14289,14289,URU
Morocco,1663.39,2024-02-15,id14289,14289,MAR
USA,1661.7,2024-02-15,id14289,14289,USA
Colombia,1655.29,2024-02-15,id14289,14289,COL
Mexico,1652.7,2024-02-15,id14289,14289,MEX
Germany,1631.22,2024-02-15,id14289,14289,GER
Senegal,1620.74,2024-02-15,id14289,14289,SEN
Japan,1614.33,2024-02-15,id14289,14289,JPN
Switzerland,1613.44,2024-02-15,id14289,14289,SUI
IR Iran,1608.23,2024-02-15,id14289,14289,IRN
Denmark,1601.31,2024-02-15,id14289,14289,DEN
Korea Republic,1566.21,2024-02-15,id14289,14289,KOR
Australia,1554.82,2024-02-15,id14289,14289,AUS
Ukraine,1553.35,2024-02-15,id14289,14289,UKR
Austria,1546.1,2024-02-15,id14289,14289,AUT
Sweden,1531.13,2024-02-15,id14289,14289,SWE
Hungary,1525.13,2024-02-15,id14289,14289,HUN
Nigeria,1522.26,2024-02-15,id14289,14289,NGA
Wales,1521.88,2024-02-15,id14289,14289,WAL
Poland,1520.24,2024-02-15,id14289,14289,POL
Ecuador,1519.2,2024-02-15,id14289,14289,ECU
Serbia,1517.43,2024-02-15,id14289,14289,SRB
Peru,1512.68,2024-02-15,id14289,14289,PER
Scotland,1506.89,2024-02-15,id14289,14289,SCO
Türkiye,1505.28,2024-02-15,id14289,14289,TUR
Egypt,1500.38,2024-02-15,id14289,14289,EGY
Qatar,1499.34,2024-02-15,id14289,14289,QAT
Russia,1498.84,2024-02-15,id14289,14289,RUS
Côte d'Ivoire,1494.57,2024-02-15,id14289,14289,CIV
Czechia,1494.04,2024-02-15,id14289,14289,CZE
Tunisia,1491.15,2024-02-15,id14289,14289,TUN
Chile,1489.82,2024-02-15,id14289,14289,CHI
Algeria,1480.24,2024-02-15,id14289,14289,ALG
Panama,1475.62,2024-02-15,id14289,14289,PAN
Romania,1472.73,2024-02-15,id14289,14289,ROU
Norway,1472.36,2024-02-15,id14289,14289,NOR
Mali,1469.81,2024-02-15,id14289,14289,MLI
Slovakia,1465.73,2024-02-15,id14289,14289,SVK
Greece,1453.95,2024-02-15,id14289,14289,GRE
Canada,1453.76,2024-02-15,id14289,14289,CAN
Cameroon,1452.59,2024-02-15,id14289,14289,CMR
Venezuela,1447.2,2024-02-15,id14289,14289,VEN
Saudi Arabia,1441.4,2024-02-15,id14289,14289,KSA
Costa Rica,1437.57,2024-02-15,id14289,14289,CRC
Slovenia,1431.4,2024-02-15,id14289,14289,SVN
Paraguay,1430.73,2024-02-15,id14289,14289,PAR
Jamaica,1421.54,2024-02-15,id14289,14289,JAM
South Africa,1410.23,2024-02-15,id14289,14289,RSA
Iraq,1409.44,2024-02-15,id14289,14289,IRQ
Finland,1401.31,2024-02-15,id14289,14289,FIN
Burkina Faso,1399.92,2024-02-15,id14289,14289,BFA
Republic of Ireland,1399.6,2024-02-15,id14289,14289,IRL
Congo DR,1388.25,2024-02-15,id14289,14289,COD
Albania,1382.69,2024-02-15,id14289,14289,ALB
Cabo Verde,1377.06,2024-02-15,id14289,14289,CPV
Uzbekistan,1376.5,2024-02-15,id14289,14289,UZB
Ghana,1363.42,2024-02-15,id14289,14289,GHA
North Macedonia,1362.17,2024-02-15,id14289,14289,MKD
United Arab Emirates,1355.55,2024-02-15,id14289,14289,UAE
Jordan,1343.6,2024-02-15,id14289,14289,JOR
Bosnia and Herzegovina,1343.32,2024-02-15,id14289,14289,BIH
Montenegro,1342.64,2024-02-15,id14289,14289,MNE
Iceland,1342.57,2024-02-15,id14289,14289,ISL
Northern Ireland,1333.17,2024-02-15,id14289,14289,NIR
Israel,1323.43,2024-02-15,id14289,14289,ISR
Guinea,1320.42,2024-02-15,id14289,14289,GUI
Georgia,1312.45,2024-02-15,id14289,14289,GEO
Honduras,1311.43,2024-02-15,id14289,14289,HON
Equatorial Guinea,1310.5,2024-02-15,id14289,14289,EQG
Oman,1307.6,2024-02-15,id14289,14289,OMA
El Salvador,1306.14,2024-02-15,id14289,14289,SLV
Bahrain,1297.32,2024-02-15,id14289,14289,BHR
Bulgaria,1289.9,2024-02-15,id14289,14289,BUL
Gabon,1289.52,2024-02-15,id14289,14289,GAB
Luxembourg,1285.41,2024-02-15,id14289,14289,LUX
Bolivia,1284.55,2024-02-15,id14289,14289,BOL
Zambia,1275.71,2024-02-15,id14289,14289,ZAM
China PR,1273.78,2024-02-15,id14289,14289,CHN
Syria,1265.51,2024-02-15,id14289,14289,SYR
Haiti,1262.5,2024-02-15,id14289,14289,HAI
Curaçao,1262.48,2024-02-15,id14289,14289,CUW
Uganda,1246.88,2024-02-15,id14289,14289,UGA
Angola,1238.11,2024-02-15,id14289,14289,ANG
Armenia,1237.15,2024-02-15,id14289,14289,ARM
Belarus,1232.8,2024-02-15,id14289,14289,BLR
Trinidad and Tobago,1228.05,2024-02-15,id14289,14289,TRI
Palestine,1227.2,2024-02-15,id14289,14289,PLE
Benin,1225.1,2024-02-15,id14289,14289,BEN
Tajikistan,1218.89,2024-02-15,id14289,14289,TJK
Kazakhstan,1215.16,2024-02-15,id14289,14289,KAZ
Thailand,1206.72,2024-02-15,id14289,14289,THA
Kosovo,1202.77,2024-02-15,id14289,14289,KOS
Aotearoa New Zealand,1197.47,2024-02-15,id14289,14289,NZL
Kyrgyz Republic,1196.97,2024-02-15,id14289,14289,KGZ
Vietnam,1194.58,2024-02-15,id14289,14289,VIE
Mauritania,1194.48,2024-02-15,id14289,14289,MTN
Namibia,1192.13,2024-02-15,id14289,14289,NAM
Guatemala,1188.17,2024-02-15,id14289,14289,GUA
Madagascar,1187.63,2024-02-15,id14289,14289,MAD
Mozambique,1184.49,2024-02-15,id14289,14289,MOZ
Kenya,1181.92,2024-02-15,id14289,14289,KEN
Congo,1179.8,2024-02-15,id14289,14289,CGO
Azerbaijan,1174.22,2024-02-15,id14289,14289,AZE
Korea DPR,1168.12,2024-02-15,id14289,14289,PRK
Lebanon,1168.07,2024-02-15,id14289,14289,LBN
Togo,1165.74,2024-02-15,id14289,14289,TOG
India,1165.17,2024-02-15,id14289,14289,IND
Guinea-Bissau,1164.01,2024-02-15,id14289,14289,GNB
